column,2,3,4,5,6,7,8,9,10,11
ace,split,split,split,split,split,split,split,split,split,split
king,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
queen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jack,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nine,split,split,split,split,split,NA,split,split,NA,NA
eight,split,split,split,split,split,split,split,split,split,split
seven,split,split,split,split,split,split,NA,NA,NA,NA
six,split,split,split,split,split,NA,NA,NA,NA,NA
five,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
four,NA,NA,NA,split,split,NA,NA,NA,NA,NA
three,split,split,split,split,split,split,NA,NA,NA,NA
two,split,split,split,split,split,split,NA,NA,NA,NA
