column,2,3,4,5,6,7,8,9,10,11
21,stick,stick,stick,stick,stick,stick,stick,stick,stick,stick
20,stick,stick,stick,stick,stick,stick,stick,stick,stick,stick
19,stick,stick,stick,stick,stick,stick,stick,stick,stick,stick
18,stick,stick,stick,stick,stick,stick,stick,stick,stick,stick
17,stick,stick,stick,stick,stick,stick,stick,stick,stick,stick
16,stick,stick,stick,stick,stick,hit,hit,hit,hit,hit
15,stick,stick,stick,stick,stick,hit,hit,hit,hit,hit
14,stick,stick,stick,stick,stick,hit,hit,hit,hit,hit
13,stick,stick,stick,stick,stick,hit,hit,hit,hit,hit
12,hit,hit,stick,stick,stick,hit,hit,hit,hit,hit
11,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
10,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
9,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
8,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
7,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
6,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
5,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
4,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
3,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
2,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
1,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
